Compound,Solvent,System,cs/mol dm^-3,Ir,Ms^a,Ns^b
LiCF3SO3,EC,(A) EC in LiCF3SO3/(EC + DMC),1.5,0.39^c,2.8,1.9
LiCF3SO3,EC,(A) EC in LiCF3SO3/(EC + DMC),1,0.28^c,2,2
LiCF3SO3,EC,(A) EC in LiCF3SO3/(EC + DMC),0.5,0.19^c,1.4,2.7
LiCF3SO3,DMC,(B) DMC in LiCF3SO3/(EC + DMC),1.5,0.25^d,1.4,0.9
LiCF3SO3,DMC,(B) DMC in LiCF3SO3/(EC + DMC),1,0.15^d,0.9,0.9
LiCF3SO3,DMC,(B) DMC in LiCF3SO3/(EC + DMC),0.5,0.09^d,0.5,1
LiCF3SO3,EC,(C) EC in LiCF3SO3/(EC + DME),1.5,0.23^c,1.7,1.1
LiCF3SO3,EC,(C) EC in LiCF3SO3/(EC + DME),1,0.17^c,1.2,1.2
LiCF3SO3,EC,(C) EC in LiCF3SO3/(EC + DME),0.5,0.07^c,0.5,1
LiPF6,EC,(D) EC in LiPF6/(EC + DMC),1.5,0.54^c,3.9,2.6
LiPF6,EC,(D) EC in LiPF6/(EC + DMC),1,0.42^c,3,3
LiPF6,EC,(D) EC in LiPF6/(EC + DMC),0.5,0.22^c,1.6,3.2
LiPF6,DMC,(E) DMC in LiPF6/(EC + DMC),1.5,0.30^d,2,1.3
LiPF6,DMC,(E) DMC in LiPF6/(EC + DMC),1,0.19^d,1.1,1.1
LiPF6,DMC,(E) DMC in LiPF6/(EC + DMC),0.5,0.10^d,0.6,1.2
