Compound,Solvent,c/moldm^-3,M,N
,,,,
EC,LiCFSO/(EC+DMC),1.5,0.39,2.8
EC,LiCFSO/(EC+DMC),1.0,0.28,2.0
EC,LiCFSO/(EC+DMC),0.5,0.19c,2.7
DMC,LiCFSO/(EC+DMC),1.5,0.254,1.4
DMC,LiCFSO/(EC+DMC),1.0,0.154,0.9
DMC,LiCFSO/(EC+DMC),0.5,0.094,1.0
EC,LiCFSO/(EC+DME),1.5,0.23,1.7
EC,LiCFSO/(EC+DME),1.0,0.17,1.2
EC,LiCFSO/(EC+DME),0.5,0.07,1.0
EC,LiPF/(EC+DMC),1.5,0.54,3.9
EC,LiPF/(EC+DMC),1.0,0.42,3.0
EC,LiPF/(EC+DMC),0.5,0.22,3.2
DMC,LiPF/(EC+DMC),1.5,0.304,2.0
DMC,LiPF/(EC+DMC),1.0,0.19d,1.1
DMC,LiPF/(EC+DMC),0.5,0.10,1.2
