Compound,Solvent,ΔHsub,ΔHsol,ΔHdissol
,,,,
Li2O^b,DMC,98.97,-55.72,42.66
Li2CO3^b,DMC,88.97,-56.77,31.61
[LiCO2]2^b,DMC,79.95,-48.99,30.37
LiF^b,DMC,63.81,-46.64,16.58
LiOCH3,DMC,50.47,-45.94,3.94
LiOH^b,DMC,34.41,-33.79,-0.81
LiOCO2C2H5,DMC,52.24,-50.44,1.21
LiOCO2CH3,DMC,49.02,-52.38,-3.95
LiEDC,DMC,148.4,-169.46,-21.65
Li2O^b,EC,98.97,-55.59,42.79
Li2CO3^b,EC,88.97,-58.49,29.89
[LiCO2]2^b,EC,79.95,-66.44,12.92
LiF^b,EC,63.81,-49.1,14.12
LiOCH3,EC,50.47,-52.06,-2.18
LiOH^b,EC,34.41,-39.02,-4.02
LiOCO2C2H5,EC,52.24,-56.63,-4.99
LiOCO2CH3,EC,49.02,-53.68,-5.25
LiEDC,EC,148.4,-161.85,-14.04
