Compound,Solvent,LiClO4 G./100 G. Solvent,Mole Fraction LiClO4,Dielectric Constant,Dipole Moment, Debyes
,,,,,,
LiClO4,Acetic,108.7 ± 0.1,0.380,6.15 (20°),0.83,
LiClO4,Triffuoroacetic,11.7 ± 0.0,0.111,39.5 (20°),2.28,
LiClO4,Butyric,60.0 ± 0.3,0.332,2.97 (20°),0.63,
LiClO4,n-Octanoic,32.1 ± 0.3,0.303,,,
LiClO4,Methyl,182.3,0.354,32.6 (25°),1.66,
LiClO4,Ethyl,151.8,0.397,24.3 (25),1.68,
LiClO4,n-Propyl,105.0,0.372,20.1 (25°),1.66,
LiClO4,Isopropy!,112.1 ± 0.1,0.388,18.3 (25°),1.68,
LiClO4,n-Butyl,79.3,0.356,17.1 (25°),1.68,
LiClO4,sec-Butyl,77.1 ± 0.1,0.349,15.8 (25°),,
LiClO4,Iso-butyl,58.1,0.288,,,
LiClO4,tert-Butyl² (30°),0.6 ± 0.0,,,,
LiClO4,"1-Octanol""",43.8 ± 0.1,0.349,10.3 (20°),1.68,
LiClO4,2-Octanol,44.7 ± 0.2,0.354,,,
LiClO4,Cyclohexanold,5.9 ± 0.1,0.053,15.0 (25°),1.9,
LiClO4,"Benzyl""",49.8 ± 0.3,0.336,13.1 (20°),1.66,
LiClO4,Ethyleneglycol,96.7 ± 0.4,0.361,.+,,
LiClO4,n-Propyl,59.1 ± 0.3,0.247,,1.26,
LiClO4,"n-Butyl""""",45.7 ± 0.3,0.239,5.3 (21°),1.40,
LiClO4,"sec-Butyl""",45.7 ± 0.2,0.239,,1.28,
LiClO4,"tert-Buty1""",10.7 ± 0.3,0.068,,,
LiClO4,Dibutyl,45.6 ± 0.4,0.356,,1+,
LiClO4,"Tributyl""",0.4 ± 0.0,,,,
LiClO4,cyclohexylamine,16.9 ± 0.1,0.136,5.37 (-21°),1.32,
LiClO4,Pyridinec,8.7 ± 0.1,0.061,12.3 (25),2.20,
LiClO4,"Aniline""",6.1 ± 0.2,0.051,6.89 (20°),1.51,
LiClO4,N-methvlaniline,1.4 ± 0.1,1+1,111,,
LiClO4,N.N-dimethyianiline,0.1 ± 0.0,,,,
LiClO4,Ethylenediamine,48.0 ± 0.3,0.213,14.2 (20°),1.90,
LiClO4,Ethylacetate,95.1,0.441,6.02 (25°),1.81,
LiClO4,Ethyibenzoate,29.2 ± 0.2,0.292,6.02 (20),1.99,
LiClO4,"Diethylcarbonate""",52.6 ± 0.1,0.369,2.82 (20°),,
LiClO4,Diethylsebacate,21.3 ± 0.1,0.340,,,
LiClO4,Diethylphthalate,5.5 ± 0.0,0.012,,,
LiClO4,"n-Butylnitrite""",3.4 ± 0.0,0.032,++,,
LiClO4,Benzylacetate,50.1 ± 0.4,0.414,5.1 (21),1.80,
LiClO4,Ethylacetoacetate,76.7 ± 0.1,0.484,,,
LiClO4,Diethyl',113.7,0.442,4.34 (20°),1.15,
LiClO4,n-Butyl,13.6 ± 0.2,0.143,3.06 (25°),1.22,
LiClO4,Tetrahvdrofuran,27.1 ± 0.2,0.155,,,
LiClO4,"D-Dioxane""",0.2 ± 0.1,,,2.21 (25°),0.45
LiClO4,Anisole,0.1 ± 0.0,,,4.33 (25°),1.2
LiClO4,Propylene oxide,91.4 ± 0.6,0.333,,1.98,
LiClO4,Acetone,136.5,0.427,(25°),2.72,
LiClO4,Cyclopentanone,63.8 ± 0.2,0.335,,,
LiClO4,"Cyclohexanone""",54.0 ± 0.3,0.332,18.3 (20°),2.8,
LiClO4,roplonaldel,110.5 ± 0.7,0.376,78.5 (17°),2.57,
LiClO4,"Benzaldehyde""",51.5 ± 0.3,0.339,17.8 (20°),2.77,
LiClO4,"Acetonitrile""",16.3 ± 0.1,0.059,37.5 (20°),3.37,
LiClO4,Benzonitrile,21.9 ± 0.2,0.175,25.2 (25°),4.05,
LiClO4,"Nitrobenzene""/",0.2 ± 0.0,0.376,34.8 (25°),3.99,
LiClO4,N,N-Dimethyiformamide,75.0 ± 0.2,0.340,20.7 (19°),2.8
LiClO4,Aceticanhydride,8.1 ± 0.0,0.072,,,
LiClO4,2-Ethoxvethanol,136.6 ± 0.4,0.536,.·,2.08,
LiClO4,2-Aminoethanol,78.9 ± 0.9,0.312,,,
LiClO4,m-Cresol,8.5 ± 0.0,0.079,11.8 (25°),1.54,
